City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Imeni Poliny Osipenko,RU,7/13/2021 8:33,52.4201,136.4853,83.25,62,91,13.15
120,Santa Rosalia,MX,7/13/2021 8:34,27.3167,-112.2833,83.86,60,83,1.5
121,Ambilobe,MG,7/13/2021 8:34,-13.2,49.05,89.73,28,0,10.69
122,Hasaki,JP,7/13/2021 8:30,35.7333,140.8333,77.29,85,100,2.77
123,Vina Del Mar,CL,7/13/2021 8:30,-33.0246,-71.5518,52.32,74,90,5.75
124,Kalmunai,LK,7/13/2021 8:34,7.4167,81.8167,94.77,44,95,7.81
125,San Luis,AR,7/13/2021 8:30,-33.295,-66.3356,48.87,86,0,8.43
126,Jalu,LY,7/13/2021 8:34,29.0331,21.5482,94.44,22,0,9.4
127,Belaya Gora,RU,7/13/2021 8:34,68.5333,146.4167,61.12,32,29,1.28
128,Saint Anthony,US,7/13/2021 8:34,45.0205,-93.218,65.82,86,1,0
129,Lorengau,PG,7/13/2021 8:32,-2.0226,147.2712,82.98,77,69,12.46
130,Avarua,CK,7/13/2021 8:30,-21.2078,-159.775,75.25,83,40,9.22
131,Cape Town,ZA,7/13/2021 8:30,-33.9258,18.4232,51.12,78,40,10.36
132,Kozhva,RU,7/13/2021 8:34,65.1073,57.0459,63.57,32,20,2.66
133,Yar-Sale,RU,7/13/2021 8:31,66.8333,70.8333,50.77,49,99,2.55
134,Tumbagaan,PH,7/13/2021 8:34,5.3656,120.3139,82.96,75,51,4.18
135,Bathsheba,BB,7/13/2021 8:31,13.2167,-59.5167,81.21,74,40,24.16
136,Dauriya,RU,7/13/2021 8:34,49.9333,116.8667,74.68,74,100,8.1
137,Koungou,YT,7/13/2021 8:32,-12.7336,45.2042,80.31,65,0,5.75
138,Hervey Bay,AU,7/13/2021 8:34,-25.2986,152.8535,64.51,77,2,1.01
139,Ribeira Grande,PT,7/13/2021 8:30,38.5167,-28.7,70.2,73,75,14.97
140,Beringovskiy,RU,7/13/2021 8:32,63.05,179.3167,60.24,69,33,4.54
141,Mayumba,GA,7/13/2021 8:34,-3.432,10.6554,75.99,73,73,7.54
142,Goderich,CA,7/13/2021 8:32,43.7501,-81.7165,66.04,88,100,4.61
143,Fengzhen,CN,7/13/2021 8:34,40.4394,113.1536,69.31,83,89,5.93
144,Ixtapa,MX,7/13/2021 8:34,20.7,-105.2,74.35,93,100,3.8
145,Saldanha,ZA,7/13/2021 8:33,-33.0117,17.9442,48.25,60,39,19.98
146,Broome,US,7/13/2021 8:34,42.2506,-75.833,72.86,90,75,7
147,Coxim,BR,7/13/2021 8:34,-18.5067,-54.76,61.27,47,6,4.92
148,Chokurdakh,RU,7/13/2021 8:30,70.6333,147.9167,56.14,33,96,11.81
149,Valer,NO,7/13/2021 8:34,60.6785,11.8331,72.84,48,97,2.3
150,Umm Lajj,SA,7/13/2021 8:34,25.0213,37.2685,91.96,43,8,13.51
151,Mago,RU,7/13/2021 8:34,53.2514,140.1822,75.76,86,96,5.75
152,Minna,NG,7/13/2021 8:34,9.6139,6.5569,76.71,78,20,9.22
153,Juneau,US,7/13/2021 8:32,58.3019,-134.4197,58.21,97,90,8.05
154,Hobyo,SO,7/13/2021 8:31,5.3505,48.5268,85.05,61,100,29.06
155,Pimentel,PE,7/13/2021 8:34,-6.8367,-79.9342,63.86,89,56,11.61
156,Bela,IN,7/13/2021 8:34,25.9333,81.9833,98.44,39,78,11.9
157,Oranjestad,AW,7/13/2021 8:30,12.524,-70.027,80.55,83,20,18.41
158,Helong,CN,7/13/2021 8:34,42.5397,128.9972,84.33,67,99,4.52
159,Kletnya,RU,7/13/2021 8:34,53.3897,33.2171,84.36,45,0,5.75
160,Narsaq,GL,7/13/2021 8:31,60.9167,-46.05,44.82,84,31,0.76
161,Menongue,AO,7/13/2021 8:29,-14.6585,17.691,67.35,30,53,5.75
162,Chifeng,CN,7/13/2021 8:34,42.2683,118.9636,79.61,74,45,18.95
163,Craig,US,7/13/2021 8:31,40.5153,-107.5464,71.22,32,1,0
164,Acapulco,MX,7/13/2021 8:31,16.8634,-99.8901,76.82,83,100,4.56
